2020-12-01,"Fotografia została ""odkryta"" dopiero w pierwszej połowie XIXw. Na początku nie uznawano jej za dziedzinę sztuki i była domeną ludzi nauki: chemików, fizyków i konstruktorów. O ile inne dziedziny sztuki (malarstwo, rzeźba) to przestrzeń zmagań człowieka z materią, fotografia zawsze była przestrzenią zmagań z techniką."
2020-12-02,"Fotografia: Za pierwszą systematyczną pracę na temat fotografii uważa się monografię szkockiej chemiczki, Elizabeth Fulhame. Intrygowała ją uroda procesów chemicznych zachodzących pod wpływem światła. W swoich eksperymentach pokrywałą tkaniny solami złota. Niestety, żadna praca nie przetrwała do dziś. Oryginalny tytuł monografii: ""An Essay on Combustion, with a View to a Art Of Dying and Painting"".  W tym samym czasie Swoje prace prowadzili Carl Wilhem Scheele, którego prace z 1777r były przełomowe dla powstania fotografii, oraz Thomas Wedgwood. Tak oto nauka utorowała drogę sztuce."
2020-12-03,"Fotografia: Za odkrywców fotografii uważani są Niepce, Daguerre i Talbot. Każdy z nich opracował własną technikę fotograficzną. Niepce wykonał pierwsze znane zdjęcie w 1826r, Talbot wykonał pierwszy znany negatyw w 1835r, a Daguerre w 1937r. z powodzeniem naświetlił, wywołał i utrwalił dagerotyp. Ich odkrycia zaowocowały kilkoma konkurencyjnymi technikami i technologicznym wyścigiem. Także patentowym. Szczęśliwie prawa patentowe do fotografii wykupił i podarował światu rząd Francji. Data patentu Niepce, 19-08-1839r. uznaje się za symboliczne narodziny fotografii jaką znamy."
2020-12-04,"Fotografia: Pierwsza książka ilustrowana fotografiami powstała w technice cyjanotypii. Autorem procesu był sir John Herschel, który opracował technikę dla Anny Atkins. Ta bardzo utalentowana plastycznie kobieta była jedną z pierwszych, które uzyskały członkostwo w Botanical Society of London. Atkins, któa do tej pory malowała realistyczne akwarele (ilustracje prac naukowych ojca), posłużyła się fotogramami wysuszonych alg. Jej prace, zebrane ostatecznie pod tytułem ""Brytyjskie algi: impresje w cyjanotypii (1843-1853)"" to tysiące niezwykle dokładnych fotogramów. Ukazywały się one regularnie, początkowo wydawane w niewielkich zeszytach. Talbot zaczął podobne prace we własnej technice rok później - niestety ze znacznie gorszymi rezultatami. Rok, w którym Atkins skończyła swoje prace był też rokiem założenia Photographic Society of London."
2020-12-05,"Fotografia: Osiągnięcia fotografii na polu naukowym, szeroko propagowane przez jej twórców, bardzo utrudniały jej wejście w świat sztuki, który dosłownie wrzał. Obóz naukowy głosił wyższość fotografii nad malarstwem, ogłaszał śmierć sztalugi i nakazywał Absolutne odcięcie się od niedoskonałej, prymitywnej w swej istocie tradycji malarskiej. W tym samym czasie obóz artystyczny, ustami Charlesa Baudelaire'a mówił o dagerotypii tak: ""Od tej chwili plugawe społeczeństwo rzuciło się jak Narcyz, by podziwiać swój trywialny wizerunek na metalu. (...) Jakiś pisarz demokratyczny powinien dostrzec w tym tanią metodę rozpowszechniania wśród ludu pogardy dla historii i malarstwa."" Oczywiście w sporze znaleźli się i centryści, którzy starali się upodobnić fotografię do malarstwa. Tak powstał piktorializm. "
2020-12-06,"Fotografia: Fotografię jako sztukę wypromował Alfred Stieglitz - nowojorczyk niemieckiego pochodzenia, który założył klub/ruch Foto-Secesja oraz pismo ""Camera Work"". Pierwotnie promował ideę piktorializmu, od której ostatecznie odszedł, stając się promotorem fotografii awangardowej. Pierwsza wystawa fotograficzna klubu miała miejsce w 1905r, natomiast pismo ukazywało się w latach 1903-1917. "
2020-12-07,"Fotografia: W języku fotograficznym pozostało wiele elementów nawiązujących do broni. Ma to jednak nie tylko związek z dziedzictwem języka technicznego, ale także z pierwszymi konstrukcjami aparatów. Wraz z rozwojem fotografii starano się uczynić je lżejszymi, poręczniejszymi i szybszymi. Powstawały więc konstrukcje typu strzelb i rewolwerów fotograficznych. "
2020-12-08,"Fotografia: Dziedzictwo techniczne przeniosło się na agresywność języka fotografii, który traktował czynności fotografa i modeli w kategoriach myśliwego i zwierzyny, zwracała uwagę Susan Sontag. Zwróciła ona uwagę także na język reklamy i zapisów na temat fotografii, które sprowadzały fotografię do POSIADANIA tego co sfotografowane. Celujemy naładowaną kamerą w obiekt, który obserwujemy przez celownik lunetkowy, a potem wciskamy spust i strzelamy zdjęcie i cel jest nasz. Kolejnym aspektem jest podtekst seksualny obecny już na poziomie językowym, choć to można zrzucić na karb fallicznych skojarzeń związanych z bronią."
2020-12-09,"Fotografia: Ponieważ fotografia jest zapisem fizycznym, nie ma ona znaczenia. Znaczenie nadaje widz, a sama fotografia jest obiektywna i przejrzysta. Taki tok rozumowania przyświecał fotografom obozu naukowego i doprowadził do powstania kilku przedsięwzięć fotograficznych na OGROMNĄ skalę. Dosłownie: usiłowano sfotografować ludzkość. Niestety, fotografie mają też autorów, a oni nie są bezstronni. Z tym problemem usiłuje sobie poradzić socjologia, wykorzystująca fotografię jako cenne źródło materiału do badań. Tutaj jednak przedmiotem badań nie jest tylko fotografia, ale także oko społeczeństwa - fotograf."
2020-12-10,"Fotografia: W Polsce największym przeprowadzonym projektem fotograficznym pozostaje Zapis Socjologiczny Zofii Rydet. To tysiące negatywów i setki tysięcy zdjęć. Proste kadry, bez szczególnego pozowania, przedstawiające wnętrza domów (głównie wiejskich) z ich mieszkańcami. Lata pracy artystki, które ilustrują życie codzienne i jego przemiany. Projekt rozpoczęła mając 67 lat, używała lampy wycelowanej na wprost i niezmierzonych pokładów charyzmy. "
